Rank 	Institution 	Undergraduates 	Postgraduates 	Total students
106 	Roehampton University 	6,110 	2,420 	8,530
107 	Glyndŵr University 	7,100 	1,305 	8,405
108 	Goldsmiths College 	5,030 	3,080 	8,110
109 	Open University in Wales 	7,650 	360 	8,010
110 	University of Gloucestershire 	6,710 	1,260 	7,965
111 	University of the Highlands and Islands 	7,000 	465 	7,465
112 	Bath Spa University 	5,220 	1,990 	7,210
113 	University of Winchester 	5,620 	1,260 	6,880
114 	University of Bolton 	5,740 	1,095 	6,835
115 	York St John University 	5,535 	885 	6,420
116 	Liverpool Hope University 	4,315 	1,925 	6,240
117 	Institute of Education 	525 	5,170 	5,690
118 	University of Chichester 	4,790 	845 	5,635
119 	St George's Hospital Medical School 	4,590 	915 	5,505
120 	School of Oriental and African Studies 	2,975 	2,435 	5,415
121 	University Campus Suffolk 	4,885 	335 	5,225
122 	Queen Margaret University 	3,520 	1,695 	5,215
123 	St Mary's University, Twickenham 	3,895 	1,270 	5,165
124 	University for the Creative Arts 	4,825 	255 	5,080
125 	University College Birmingham 	4,510 	485 	4,995
126 	Harper Adams University 	4,415 	385 	4,800
127 	University of Abertay Dundee 	4,345 	410 	4,755
128 	Cranfield University 	- 	4,205 	4,205
129 	Open University in Northern Ireland 	3,885 	250 	4,135
130 	Falmouth University 	3,715 	300 	4,015
131 	Leeds Trinity University 	2,750 	570 	3,320
132 	Arts University Bournemouth 	2,865 	75 	2,940
133 	Newman University 	2,290 	605 	2,895
134 	University of St Mark and St John 	2,215 	540 	2,755
135 	Bishop Grosseteste University 	1,730 	670 	2,395
136 	University of Buckingham 	1,260 	985 	2,245
137 	Royal Veterinary College 	1,595 	560 	2,155
138 	London Business School 	- 	1,905 	1,905
139 	Ravensbourne 	1,815 	75 	1,890
140 	Glasgow School of Art 	1,405 	420 	1,825
141 	Norwich University of the Arts 	1,705 	60 	1,765
142 	Royal College of Art 	- 	1,670 	1,670
143 	SRUC 	1,510 	55 	1,565
144 	Stranmillis University College 	1,165 	360 	1,525
145 	Conservatoire for Dance and Drama 	1,065 	255 	1,320
146 	London School of Hygiene and Tropical Medicine 	- 	1,250 	1,250
147 	St Mary's University College 	860 	350 	1,210
148 	Royal Agricultural University 	955 	200 	1,155
149 	Leeds College of Art 	1,120 	20 	1,140
150 	Central School of Speech and Drama 	630 	355 	985
151 	Trinity Laban Conservatoire of Music and Dance 	685 	275 	965
152 	Royal Conservatoire of Scotland 	765 	160 	925
153 	Guildhall School of Music and Drama 	535 	350 	890
154 	Heythrop College 	415 	385 	800
155 	Royal College of Music 	415 	375 	790
156 	Royal Northern College of Music 	585 	205 	790
157 	Rose Bruford College 	740 	30 	770
158 	Writtle College 	770 	- 	770
159 	Royal Academy of Music 	350 	395 	745
160 	The Liverpool Institute for Performing Arts 	720 	- 	720
161 	Courtauld Institute of Art 	155 	305 	460
162 	Institute of Cancer Research 	- 	290 	290
163 	University of London (Institutes and activities) 	- 	240 	240
