Year Month Hamburg Berlin Munich Frankfurt Cologne
2003 7 20137.29 22603.31 14698.71 23546.05 18998.81 
2003 8 19645.92 22593.21 14507.65 23464.81 19643.33 
2003 9 19666.98 23484.95 14863.9 22721.16 19386.63 
2003 10 19927.09 22841.89 14713.26 22050.16 18902.52 
2003 11 20941.0 22639.3 14650.76 21810.15 18776.44 
2003 12 21966.16 22583.66 14528.05 21823.31 17607.02 
2004 1 21311.85 22237.79 14570.81 21409.72 17432.96 
2004 2 21897.33 21961.59 14463.68 21061.82 17774.32 
2004 3 23004.14 21202.0 14395.48 20339.47 17885.16 
2004 4 23229.07 21755.15 14696.64 20805.26 17980.27 
2004 5 23389.05 21598.89 14880.27 20122.0 17862.47 
2004 6 22343.47 21304.38 14929.3 21000.31 18513.32 
2004 7 21157.58 21292.91 14854.79 21463.05 17466.99 
2004 8 20639.72 21771.03 14831.96 22500.02 17814.55 
2004 9 20006.26 22136.61 14873.53 21713.51 17219.56 
2004 10 19282.8 21983.2 15023.69 21398.72 16998.72 
2004 11 19747.09 22782.58 15131.57 20817.16 16153.65 
2004 12 20916.69 21991.35 14999.18 21101.45 15621.1 
2005 1 20408.13 22549.83 14850.13 21392.63 15300.44 
2005 2 19153.77 21330.61 15025.38 21855.19 15550.69 
2005 3 19615.29 21281.84 15290.17 20924.24 15647.61 
2005 4 19840.2 20854.04 15541.85 21183.0 16396.16 
2005 5 20281.25 21174.9 15448.99 21636.36 16051.88 
2005 6 20772.59 19903.97 15428.19 22432.57 15493.06 
2005 7 20448.02 19830.91 15934.18 23092.25 15391.26 
2005 8 21231.19 19128.62 15784.65 23420.03 15900.08 
2005 9 22173.64 18913.46 15691.25 23423.14 15777.55 
2005 10 22791.97 19248.91 15867.36 23961.82 15627.58 
2005 11 23752.0 19889.6 15843.35 23736.29 15614.37 
2005 12 24089.33 19844.33 15844.12 23862.33 15638.41 
2006 1 24238.25 19430.24 16099.34 23457.47 15610.35 
2006 2 25155.26 19711.12 16113.14 23825.31 15386.73 
2006 3 24615.26 19467.98 16035.65 23668.48 16270.32 
2006 4 24622.39 18856.46 15707.64 23919.83 16159.96 
2006 5 25440.26 18651.66 15713.46 24338.98 16243.62 
2006 6 25568.95 18288.91 15334.27 24726.2 17585.39 
2006 7 26058.48 18524.69 14880.12 25172.66 18542.08 
2006 8 26422.07 18580.63 15049.65 24634.0 18244.72 
2006 9 25486.92 18327.39 15334.71 25190.39 18393.74 
2006 10 26888.26 17945.97 15608.36 25814.82 19681.7 
2006 11 28787.19 17987.63 15344.88 26682.79 19149.7 
2006 12 29222.4 18039.45 15262.16 26228.2 19705.33 
2007 1 30572.75 18372.04 15109.61 26820.15 19395.08 
2007 2 32738.19 19040.05 14741.76 26565.64 19603.06 
2007 3 33660.65 19313.09 14923.09 27475.2 19910.38 
2007 4 34499.97 18876.21 14776.05 27409.34 19557.87 
2007 5 34082.18 19877.59 14664.22 26864.29 20732.16 
2007 6 34046.46 18698.74 14725.04 25940.92 21283.23 
2007 7 32264.6 18038.35 14437.4 26135.22 20627.83 
2007 8 32556.55 17954.49 14269.07 26192.05 20450.79 
2007 9 34151.79 18211.12 14202.74 26036.6 20914.96 
2007 10 35016.63 18260.74 14153.6 26158.98 20190.3 
2007 11 35887.47 18713.72 14189.48 25447.66 20055.35 
2007 12 34999.3 18749.03 13785.12 25544.37 20510.15 
2008 1 34640.87 19468.57 13452.88 25587.6 20201.97 
2008 2 34710.0 19556.85 13342.7 25982.88 20428.92 
2008 3 33606.52 18619.08 13250.23 24521.3 19821.32 
2008 4 32738.34 19199.72 13115.01 24404.33 19967.67 
2008 5 30678.87 19963.89 13307.47 24654.74 20222.37 
2008 6 29279.85 19264.59 13335.67 24492.94 19481.46 
2008 7 28274.41 19957.49 13341.09 24486.14 19107.23 
2008 8 28278.96 20729.55 13562.14 24044.77 18920.43 
2008 9 27576.78 21192.79 13363.11 24011.36 19619.77 
2008 10 28291.83 21846.92 13014.59 23755.38 20601.72 
2008 11 27688.31 21284.29 13100.09 23964.81 20928.1 
2008 12 26137.03 20621.86 13274.18 24417.4 20715.4 
2009 1 26769.19 20935.24 13320.77 24325.27 20541.6 
2009 2 26326.42 20881.73 13508.1 24137.22 21580.11 
2009 3 28004.99 21781.91 13428.14 24085.62 21608.45 
2009 4 27606.72 22056.24 13481.04 23932.34 22070.83 
2009 5 28133.23 22883.26 13682.99 23809.33 20707.95 
2009 6 28577.05 22724.95 13670.34 23849.93 21113.67 
2009 7 27496.26 22549.03 13515.31 24270.7 20866.18 
2009 8 27095.32 21517.56 13494.59 24119.18 21961.8 
2009 9 28184.16 21732.9 13744.87 24100.59 22141.67 
2009 10 28952.35 21627.07 13949.34 24061.57 21716.26 
2009 11 27896.28 21570.98 13796.3 23889.42 22017.06 
2009 12 26867.42 21497.42 13706.34 23952.69 21295.05 
2010 1 27607.96 22241.65 13684.1 24723.91 21102.12 
2010 2 27281.14 22809.82 13747.02 24580.09 21521.97 
2010 3 27060.54 22524.27 13481.83 25407.25 22479.84 
2010 4 26071.72 22462.58 13542.09 24812.26 23369.47 
2010 5 26230.22 21822.21 13527.37 25133.03 23604.38 
2010 6 27244.87 22398.32 13706.51 25902.16 23620.24 
2010 7 26287.62 22327.08 13721.71 25583.92 24507.62 
2010 8 25918.0 21960.56 13786.76 25588.66 23096.78 
2010 9 24788.3 20739.24 13705.03 25764.4 22317.29 
2010 10 24465.73 20138.43 13616.99 25351.42 21627.49 
2010 11 24986.37 20918.33 13520.48 24494.07 21206.23 
2010 12 25423.58 20889.11 13651.04 23946.31 21143.0 
2011 1 25344.5 21523.48 13564.14 24396.12 21532.81 
2011 2 25726.22 21822.64 13548.26 23232.5 21665.29 
2011 3 26212.4 22445.7 13467.11 23825.96 21807.75 
2011 4 25731.6 22537.36 13605.14 23745.46 21413.89 
2011 5 25719.23 22846.89 13843.14 23988.07 21343.95 
2011 6 24854.24 22388.86 13627.34 23358.12 21005.13 
2011 7 24890.41 22828.7 13525.76 23702.27 20742.0 
2011 8 24214.39 21994.87 13824.38 23916.27 20823.61 
2011 9 22918.2 22352.57 13860.44 23515.56 20444.7 
2011 10 24371.43 22192.01 13805.81 23438.91 20389.78 
2011 11 23798.87 23061.72 13923.77 23283.9 20216.25 
2011 12 24481.24 22747.09 13873.81 23763.28 19309.65 
2012 1 23581.98 23249.53 13781.92 23683.67 18428.11 
2012 2 23379.74 23184.21 13692.93 23339.84 18607.54 
2012 3 23257.87 21986.66 13844.4 23475.82 19531.87 
2012 4 24395.88 22120.75 13911.83 23106.75 19271.68 
2012 5 24514.28 22449.09 14038.71 22870.0 18560.47 
2012 6 25026.24 21623.15 14042.9 23651.17 18048.28 
2012 7 25976.97 22505.37 13846.78 23467.19 17177.67 
2012 8 25850.49 21226.85 14014.88 23277.7 18180.68 
2012 9 25837.73 20476.34 13941.91 23618.79 18946.41 
2012 10 25474.28 20423.17 14054.05 24019.99 19537.89 
2012 11 25603.51 21069.57 14201.39 24624.67 18741.08 
2012 12 25611.58 21459.77 14261.08 24788.33 18932.93 
2013 1 26508.26 21947.91 14325.54 24880.9 17898.68 
2013 2 25384.04 21238.03 14466.07 23959.56 17554.09 
2013 3 25353.74 20947.48 14467.45 24901.95 17573.6 
2013 4 25273.54 22235.34 14550.53 25133.24 17561.8 
2013 5 25255.35 23201.16 14781.66 24571.52 17963.41 
2013 6 27281.81 23075.62 14926.17 24603.71 19368.5 
2013 7 27209.62 23634.84 14873.55 24754.56 19083.35 
2013 8 25852.53 23085.43 14931.56 24132.35 18737.71 
2013 9 26140.49 23162.0 14768.8 24398.64 18368.33 
2013 10 25976.7 23367.67 14757.84 24699.28 18767.85 
2013 11 26093.72 23999.5 14652.86 23875.41 18552.35 
2013 12 25146.59 24079.77 14499.63 23818.37 17831.39 
2014 1 24707.84 24116.06 14628.76 23268.51 17865.59 
2014 2 24859.57 23724.59 14690.04 23344.01 18289.58 
2014 3 25448.54 23645.88 14768.99 23495.71 18686.7 
2014 4 26028.75 23843.6 14782.35 23166.76 18907.32 
2014 5 26626.65 24548.54 14674.5 23660.54 18796.17 
2014 6 27847.55 25942.9 14830.68 23782.1 19447.8 
2014 7 28993.26 25342.08 14938.35 23852.25 19577.65 
2014 8 28366.03 25762.29 15137.14 24084.34 18787.83 
2014 9 28203.53 25954.78 15299.46 24016.84 20162.3 
2014 10 29036.14 25837.81 15112.75 24379.44 19503.65 
2014 11 29413.17 25918.94 15212.09 24210.25 18984.08 
2014 12 30166.14 25342.19 15357.8 24016.21 19272.5 
2015 1 29960.0 25152.82 15228.4 24284.93 18357.29 
2015 2 30627.0 24542.45 14998.19 24459.93 19002.82 
2015 3 30266.56 23611.23 15162.97 24709.44 17758.4 
2015 4 30394.04 22610.7 15083.06 24824.72 18135.08 
2015 5 29967.25 21500.08 15179.74 24599.76 18705.73 
2015 6 30191.23 20974.42 15058.02 24602.0 18548.11 
2015 7 30151.97 20593.16 14737.52 24460.74 17699.52 
2015 8 30819.64 20820.62 14914.11 24828.75 17417.74 
2015 9 30634.98 19909.23 15208.1 25088.03 17597.31 
2015 10 30657.37 20152.23 15322.06 24209.69 18323.74 
2015 11 30226.01 20541.19 15600.61 23900.46 18138.15 
2015 12 29669.44 20756.31 15482.73 23670.23 17897.09 
2016 1 30042.56 20470.97 15586.84 24658.61 17450.62 
2016 2 28695.91 20079.77 15647.59 25069.38 17448.11 
2016 3 29805.93 19899.24 15982.59 25084.02 17093.86 
2016 4 30548.88 20614.31 16034.85 25273.21 16860.75 
2016 5 30246.57 20693.27 16226.86 25463.72 16602.26 
2016 6 29589.67 20421.15 16392.04 25225.11 17670.89 
2016 7 30998.55 20213.46 16469.31 24768.49 17828.32 
2016 8 30988.81 21195.42 16701.22 25130.35 17685.48 
2016 9 30231.22 20852.25 16891.41 25160.61 17428.19 
2016 10 31290.8 20080.29 16945.54 25896.54 17501.59 
2016 11 31521.54 20388.25 17302.03 25697.34 17375.48 
2016 12 33834.5 20364.48 17103.44 25903.76 17647.88 
2017 1 33489.41 19345.33 17357.5 25868.38 17622.86 
2017 2 34302.53 19029.14 17454.9 25476.88 17460.05 
2017 3 34771.85 19511.17 17200.79 25874.74 17424.57 
2017 4 34828.12 19224.05 17112.1 25894.36 16421.22 
2017 5 35556.23 19538.41 16997.76 26081.44 16657.21 
2017 6 35779.57 19658.84 17103.44 25234.98 16420.42 
2017 7 35676.67 20354.87 17213.08 25843.48 16658.29 
2017 8 33034.87 20022.53 17335.1 25853.33 17081.58 
2017 9 31173.47 20418.52 17266.36 26382.78 17256.21 
2017 10 30170.9 20419.54 17438.26 25921.54 16992.83 
2017 11 31232.86 20029.31 17865.05 26406.6 17888.76 
2017 12 30807.72 20888.34 17742.3 27007.93 17749.51 
