Month Year	"Unique visitors"	"Number of visits"	Pages	Hits	Bandwidth Unit
Jun 2018	369,739	573,102	1,034,335	6,773,820	386.60 GB
Jul 2018	352,670	552,519	967,778	6,551,347	375.86 GB
Aug 2018	407,512	642,542	1,223,319	7,829,987	472.37 GB
Sep 2018	463,937	703,327	1,187,224	8,468,723	514.46 GB
Oct 2018	537,343	826,290	1,403,176      10,013,025	620.55 GB
Nov 2018	514,072	781,335	1,295,594	9,487,834	642.16 GB
Dec 2018	464,763	682,741	1,209,298	8,348,946	544.44 GB
Jan 2019	501,872	778,058	1,358,144	9,448,721	650.48 GB
Feb 2019	515,425	788,805	1,341,882	9,410,360	649.98 GB
Mar 2019	511,718	774,681	1,297,965	9,253,482	651.79 GB
Apr 2019	446,969	667,534	1,090,375	8,023,676	576.91 GB
May 2019	408,200	608,865	999,811	7,258,635	506.37 GB
Jun 2019	391,194	584,888	970,606	6,973,925	467.66 GB
Jul 2019	406,102	625,323	1,053,501	7,420,065	487.85 GB
Aug 2019	377,072	573,173	959,852	6,688,631	444.79 GB
Sep 2019	458,913	682,966	1,105,188	8,076,027	528.82 GB
Oct 2019	519,744	775,279	1,240,191	9,235,952	635.17 GB
Nov 2019	503,719	742,106	1,182,120	8,898,828	600.38 GB
