id;Car Make;Car Model;Car Model Year
242;Mercedes-Benz;M-Class;1999
243;Dodge;D250;1993
244;Isuzu;Ascender;2006
245;Nissan;240SX;1997
246;Toyota;Corolla;2006
247;Ford;Taurus;1995
248;Hyundai;Tiburon;2000
249;Lexus;LFA;2012
250;Lexus;LS;2011
251;Lotus;Esprit;2001
252;GMC;Sonoma;2000
253;Kia;Spectra;2009
254;BMW;1 Series;2012
255;Toyota;Land Cruiser;2001
256;Toyota;Highlander;2004
257;GMC;Envoy;2003
258;Cadillac;Eldorado;1994
259;Audi;A6;1995
260;Dodge;Dakota;1994
261;Aston Martin;V8 Vantage;2011
262;Buick;Century;1996
263;Mitsubishi;Outlander;2011
264;Chrysler;New Yorker;1995
265;Dodge;Nitro;2011
266;Ford;Explorer;2007
267;GMC;1500;1998
268;GMC;Rally Wagon G3500;1995
269;GMC;Sierra 3500;2010
270;Chevrolet;Astro;1999
271;Cadillac;STS;2010
272;Lincoln;Town Car;1987
273;Land Rover;Freelander;2005
274;Honda;Pilot;2006
275;Dodge;Grand Caravan;2011
276;Pontiac;Bonneville;1988
277;Honda;Civic;1991
278;Mitsubishi;Expo;1993
279;Infiniti;EX;2009
280;Ford;Aspire;1995
281;Jaguar;XJ Series;1996
282;Buick;Skylark;1991
283;Lamborghini;Murciélago LP640;2008
284;Nissan;Sentra;1996
285;GMC;Yukon;2005
286;Ferrari;430 Scuderia;2009
287;Acura;TL;1998
288;Ford;Torino;1970
289;Pontiac;G3;2010
290;Mitsubishi;Pajero;2000
291;GMC;Sonoma;1997
292;Cadillac;Fleetwood;1995
293;Mercedes-Benz;W201;1989
294;Subaru;Legacy;2006
295;Pontiac;GTO;1974
296;Mercedes-Benz;500E;1993
297;Mazda;B-Series;1993
298;Chrysler;300M;1999
299;Lexus;GS;2005
300;GMC;Suburban 1500;1999
301;Mercury;Cougar;1986
302;Infiniti;QX;2003
303;Cadillac;Brougham;1992
304;Dodge;Magnum;2007
305;Porsche;Boxster;2009
306;Chrysler;Concorde;2000
307;Volkswagen;GTI;1996
308;Suzuki;Aerio;2002
309;Ford;Escort;1984
310;Plymouth;Neon;2001
311;Mercury;Tracer;1992
312;Land Rover;Defender Ice Edition;2010
313;Pontiac;Trans Sport;1992
314;Ford;Edge;2012
315;GMC;Savana 1500;2000
316;Mitsubishi;Galant;2011
317;Kia;Rio;2007
318;Subaru;XT;1991
319;Nissan;Pathfinder;2008
320;Jaguar;XK;2009
321;Ford;Thunderbird;2003
322;Volkswagen;Cabriolet;1988
323;Ford;Ranger;2008
324;Dodge;Viper;1994
325;Hyundai;Sonata;2011
326;Cadillac;XLR;2005
327;Ford;Taurus;1986
328;Audi;5000S;1987
329;Honda;Accord;2002
330;Mercedes-Benz;R-Class;2009
331;Ford;E150;2011
332;Ford;Bronco;1988
333;Hyundai;Santa Fe;2004
334;Dodge;Magnum;2008
335;Mazda;Mazda3;2010
336;Chevrolet;Express 2500;1998
337;Pontiac;Firefly;1992
338;Audi;Cabriolet;1996
339;BMW;545;2005
340;Pontiac;Bonneville;1989
341;Ford;Festiva;1993
342;Hyundai;Santa Fe;2006
343;Volkswagen;Eos;2011
344;Volkswagen;GTI;1996
345;Toyota;Tacoma;2006
346;Toyota;Camry;2006
347;Toyota;Avalon;2001
348;Infiniti;G;2000
349;Chevrolet;Astro;1999
350;Suzuki;Vitara;2002
351;GMC;Savana 2500;2007
352;Isuzu;Amigo;1999
353;BMW;5 Series;2006
354;Volkswagen;Eos;2007
355;Cadillac;DeVille;1992
356;Ford;Taurus;1988
357;Audi;TT;2008
358;GMC;Savana 1500;2011
359;Oldsmobile;Aurora;2001
360;BMW;M3;2006
361;GMC;Suburban 2500;1993
362;Mazda;Tribute;2003
363;Audi;A6;2003
364;Dodge;Avenger;1998
365;Acura;MDX;2004
366;Ford;Bronco II;1990
367;Buick;Century;1987
368;Chevrolet;Suburban 1500;1999
369;Dodge;Ram Van 2500;1996
370;Ford;Explorer Sport Trac;2002
371;Mercedes-Benz;300E;1992
372;Bentley;Continental GTC;2012
373;Oldsmobile;Silhouette;2004
374;GMC;Sierra;2012
375;Mazda;MX-6;1989
376;Chrysler;Pacifica;2007
377;Nissan;Xterra;2011
378;Buick;LaCrosse;2005
379;Honda;Accord;2001
380;Chevrolet;Express 2500;1996
381;Mercedes-Benz;GL-Class;2010
382;Dodge;Ram 1500;2002
383;Subaru;Legacy;2002
384;Mitsubishi;Outlander;2008
385;Mercury;Montego;2005
386;Mazda;929;1989
387;Nissan;Quest;1997
388;Toyota;Avalon;1995
389;Cadillac;Escalade ESV;2006
390;Suzuki;Swift;2005
391;Chevrolet;Silverado 2500;2004
392;Nissan;Quest;2005
393;Ford;F250;2008
394;Pontiac;Grand Am;1985
395;Dodge;Ram Van 3500;1999
396;Nissan;GT-R;2013
397;Mercedes-Benz;SLK-Class;2012
398;Mazda;MX-5;2010
399;Honda;S2000;2004
400;Volkswagen;New Beetle;1999
401;Mercedes-Benz;SL-Class;2012
402;Plymouth;Prowler;1999
403;Nissan;Pathfinder;2004
404;Ford;Windstar;1997
405;Chevrolet;Caprice Classic;1995
406;Chevrolet;Avalanche;2011
407;Nissan;Frontier;2012
408;Audi;90;1988
409;Mitsubishi;Lancer;2012
410;BMW;8 Series;1992
411;Saab;9-5;2004
412;Chevrolet;Monte Carlo;2005
413;Lincoln;LS;2000
414;Lincoln;MKZ;2010
415;Mazda;929;1995
416;Saturn;Aura;2009
417;Suzuki;Daewoo Lacetti;2006
418;Hyundai;Santa Fe;2004
419;Mercury;Grand Marquis;1998
420;Isuzu;Ascender;2006
421;Ford;EXP;1986
422;Dodge;Caliber;2009
423;Smart;Fortwo;2010
424;Pontiac;LeMans;1965
425;Tesla;Roadster;2011
426;Porsche;928;1985
427;Mazda;MX-5;2011
428;Ford;Tempo;1989
429;Suzuki;Sidekick;1995
430;Lincoln;Blackwood;2002
431;Lotus;Esprit;2003
432;Austin;Mini;1959
433;Buick;Park Avenue;2001
434;Volkswagen;GTI;1987
435;Porsche;911;2006
436;Porsche;944;1991
437;Infiniti;I;1999
438;Chevrolet;Malibu;1998
439;Kia;Sephia;1998
440;Subaru;Outback;2008
441;Chevrolet;1500;1999
442;Ford;Expedition EL;2012
443;Chevrolet;Impala SS;1995
444;Oldsmobile;Aurora;2003
445;Chevrolet;Express 2500;2001
446;Ferrari;599 GTB Fiorano;2010
447;Cadillac;Catera;1998
448;Lincoln;Blackwood;2002
449;Mazda;MX-3;1993
450;Ford;Five Hundred;2007
451;Dodge;Ram 1500;2007
452;Toyota;Corolla;1998
453;Toyota;Land Cruiser;2006
454;Subaru;Impreza;1997
455;Mitsubishi;Outlander;2008
456;Suzuki;Swift;1995
457;Chrysler;300M;2003
458;Ford;Bronco;1992
459;Bentley;Continental GT;2008
460;Mazda;MX-6;1991
461;Infiniti;J;1996
462;Mazda;626;1990
463;Jaguar;XJ;2012
464;Isuzu;Oasis;1999
465;Hyundai;Elantra;2010
466;Pontiac;Grand Prix;1983
467;Jeep;Liberty;2005
468;Mazda;MX-3;1993
469;Mercedes-Benz;G-Class;2009
470;MINI;Cooper;2003
471;Honda;CR-V;2012
472;Suzuki;Verona;2005
473;Land Rover;Range Rover Sport;2008
474;Oldsmobile;Aurora;1999
475;Subaru;XT;1988
476;Jeep;Cherokee;1993
477;Mazda;Tribute;2010
478;Pontiac;Firefly;1990
479;Pontiac;Bonneville;1966
480;Chevrolet;Suburban 2500;1997
481;Ford;Fusion;2010
482;Ford;F-Series;1994
483;Ford;E250;2012
484;Chrysler;New Yorker;1994
485;Plymouth;Breeze;1996
486;Toyota;FJ Cruiser;2008
487;Dodge;Viper;1996
488;Infiniti;I;2004
489;Mazda;MX-5;1993
490;Mazda;B-Series Plus;1998
491;Suzuki;SJ;1994
492;Infiniti;QX56;2012
493;Kia;Rio;2012
494;Porsche;944;1986
495;Hyundai;XG350;2002
496;Dodge;Ram 2500;1998
497;Toyota;RAV4;1996
498;Dodge;Ram 3500 Club;1997
499;Cadillac;Escalade ESV;2011
500;Subaru;Legacy;2010
501;Saab;900;1998
502;GMC;Vandura G2500;1995
503;Chevrolet;Tahoe;2012
504;Volkswagen;Jetta;1989
505;Acura;Legend;1988
506;Kia;Spectra5;2006
507;Honda;Passport;1996
508;Chevrolet;2500;1996
509;Chevrolet;Bel Air;1967
510;Volkswagen;Jetta;2007
511;Acura;SLX;1997
512;Ford;F-Series Super Duty;2012
513;Oldsmobile;Cutlass;1998
514;Aptera;Typ-1;2009
515;Mercedes-Benz;500SEL;1993
516;Lincoln;MKZ;2008
517;Volkswagen;Phaeton;2006
518;Chrysler;Sebring;2004
519;Kia;Rio5;2008
520;Saturn;Ion;2005
521;Ford;Fiesta;2001
522;Honda;Odyssey;2006
523;Infiniti;I;1997
524;MINI;Cooper Clubman;2008
525;Ford;Festiva;1992
526;Chevrolet;G-Series 1500;1998
527;Eagle;Vision;1994
528;Chevrolet;Camaro;1977
529;Acura;MDX;2010
530;Dodge;Dakota;2000
531;Ford;Crown Victoria;2008
532;Ford;Mustang;2000
533;Dodge;Stratus;2006
534;Volvo;940;1994
535;Chevrolet;Traverse;2009
536;Bentley;Continental GTC;2009
537;Ford;Mustang;1993
538;Ford;Freestar;2005
539;Lexus;GX;2004
540;Dodge;D150 Club;1992
541;Toyota;Tundra;2007
542;Toyota;Corolla;1997
543;Ford;Windstar;2002
544;Mazda;Miata MX-5;2009
545;Toyota;Tacoma;2010
546;Cadillac;Escalade ESV;2007
547;Isuzu;Trooper;2001
548;Nissan;Sentra;1999
549;Fiat;Nuova 500;2012
550;Oldsmobile;Ciera;1996
551;Plymouth;Colt Vista;1993
552;Ford;Ranger;2000
553;Ford;Excursion;2001
554;Pontiac;Grand Am;1994
555;GMC;Savana 1500;1997
556;Dodge;Nitro;2007
557;Mercedes-Benz;SL-Class;1994
558;Toyota;Yaris;2006
559;Chevrolet;Silverado 2500;2003
560;Chevrolet;Beretta;1995
561;Dodge;Ram 2500;1996
562;Mazda;MPV;1997
563;Ford;F-Series;1996
564;Mercedes-Benz;CLK-Class;2008
565;Audi;S4;2001
566;Dodge;Intrepid;2000
567;Audi;TT;2002
568;Mitsubishi;Eclipse;1997
569;Infiniti;FX;2003
570;Dodge;Viper RT/10;1994
571;Cadillac;Seville;1999
572;Chevrolet;Suburban 2500;2007
573;Honda;Civic;2007
574;Chevrolet;Astro;1997
575;GMC;Yukon XL;2006
576;GMC;Jimmy;1997
577;Cadillac;CTS;2010
578;Dodge;Ram 2500;1995
579;Jaguar;XK;2010
580;Land Rover;Defender 90;1995
581;GMC;Sierra 1500;2010
582;Ford;E150;2009
583;Lexus;GX;2004
584;Ford;Ranger;1990
585;Buick;Lucerne;2011
586;Ford;Laser;1984
587;Mercury;Monterey;2004
588;Ford;F-Series;2007
589;BMW;5 Series;1992
590;Toyota;Sienna;2002
591;Isuzu;i-350;2006
592;Mercedes-Benz;E-Class;1985
593;Mazda;626;1984
594;Buick;Century;1995
595;Volkswagen;Rabbit;2009
596;Volkswagen;Type 2;1986
597;Suzuki;Esteem;1996
598;Nissan;GT-R;2013
599;Honda;Accord;2004
600;Land Rover;Defender;1993
601;Toyota;Tacoma;1996
602;GMC;Envoy;2008
603;Suzuki;Forenza;2004
604;Nissan;Pathfinder;1999
605;Maybach;57;2011
606;Chevrolet;Corvette;1957
607;Acura;TL;1997
608;Ford;C-MAX Hybrid;2013
609;Land Rover;Discovery;2000
610;Chevrolet;Lumina;1994
611;Dodge;Avenger;1998
612;Acura;TL;2011
613;BMW;Z3;2002
614;Pontiac;Bonneville;1999
615;Mercedes-Benz;M-Class;2006
616;Volvo;850;1993
617;Kia;Optima;2007
618;Buick;Skylark;1992
619;Honda;Odyssey;2002
620;Isuzu;Trooper;1992
621;Lotus;Elan;1990
622;BMW;M6;2009
623;GMC;Sonoma Club Coupe;1998
624;GMC;Envoy;2008
625;Lexus;GS;2013
626;Ford;Windstar;2001
627;Hyundai;Sonata;2010
628;Mazda;Navajo;1993
629;Chevrolet;Cavalier;1996
630;Mazda;323;1992
631;Chevrolet;1500;1999
632;Porsche;928;1987
633;Lexus;ES;1995
634;Oldsmobile;Cutlass;1997
635;Ford;Bronco II;1987
636;Chevrolet;Tracker;2003
637;Hyundai;Excel;1993
638;Lincoln;Mark VIII;1993
639;Mercury;Lynx;1986
640;Mazda;MX-5;2002
641;GMC;3500 Club Coupe;1992
642;Mercedes-Benz;G-Class;2002
643;Toyota;Camry;1994
644;GMC;Sierra 3500;2002
645;Honda;Accord;2010
646;BMW;X6;2012
647;Toyota;FJ Cruiser;2011
648;Aston Martin;Vanquish S;2006
649;Suzuki;Daewoo Magnus;2005
650;BMW;6 Series;1989
651;Aston Martin;DB9;2006
652;Mercedes-Benz;SLK-Class;2007
653;Hyundai;Scoupe;1994
654;Chrysler;PT Cruiser;2006
655;Smart;Fortwo;2008
656;Nissan;Altima;1994
657;Jaguar;S-Type;2003
658;Pontiac;1000;1986
659;Toyota;Celica;1995
660;Hyundai;Tiburon;1997
661;Chevrolet;Venture;2003
662;Honda;CR-V;2006
663;Infiniti;J;1996
664;GMC;Rally Wagon 3500;1992
665;Dodge;Stratus;1997
666;Pontiac;Bonneville;1998
667;Toyota;4Runner;2003
668;Dodge;Caliber;2010
669;Acura;Integra;2001
670;Jaguar;XJ Series;1992
671;Nissan;Sentra;1991
672;Bentley;Continental Super;2012
673;Dodge;Ram 1500;1996
674;Ford;Crown Victoria;1992
675;Mazda;Miata MX-5;2008
676;Ford;Thunderbird;2005
677;Mercury;Mountaineer;2010
678;Chevrolet;Caprice;1992
679;Jeep;Commander;2009
680;Chevrolet;Corvette;1964
681;Chevrolet;SSR;2005
682;Aston Martin;V8 Vantage;2009
683;Lincoln;Town Car;1998
684;Lotus;Esprit;1989
685;Pontiac;Vibe;2007
686;GMC;Terrain;2011
687;Aston Martin;DBS;2011
688;Suzuki;SX4;2012
689;Mercury;Grand Marquis;1988
690;Pontiac;Grand Prix;1975
691;Toyota;4Runner;1993
692;Volkswagen;Scirocco;1985
693;Buick;Roadmaster;1991
694;Buick;Regal;2002
695;BMW;600;1958
696;Cadillac;STS;2009
697;Nissan;Altima;1997
698;Nissan;Pathfinder;2001
699;Mazda;Mazda6;2013
700;Lotus;Esprit;1986
701;Volkswagen;Eurovan;2001
702;Buick;Rendezvous;2002
703;Cadillac;Eldorado;2000
704;Acura;CL;2003
705;Hyundai;Santa Fe;2008
706;Volkswagen;rio;2000
707;Chrysler;Crossfire;2007
708;Ford;Mustang;1969
709;Lincoln;Navigator;2008
710;Ford;Ranger;1993
711;Pontiac;Grand Am;1993
712;Mitsubishi;Tredia;1988
713;Honda;Civic;2000
714;Saab;900;1989
715;Mercedes-Benz;CLK-Class;2005
716;Honda;Odyssey;2010
717;Mitsubishi;Expo;1995
718;Mercury;Grand Marquis;1993
719;Audi;5000CS;1987
720;Chevrolet;Corvette;1963
721;Suzuki;SJ;1992
722;Volkswagen;New Beetle;2001
723;Volkswagen;Eos;2010
724;Dodge;Avenger;1998
725;GMC;Envoy XL;2004
726;Chevrolet;S10;1992
727;Honda;Civic;1999
728;Mitsubishi;Chariot;1993
729;Toyota;Highlander;2001
730;Chevrolet;Suburban 2500;2009
731;GMC;Canyon;2005
732;Pontiac;Bonneville;2002
733;Pontiac;Grand Prix;1970
734;Nissan;350Z;2006
735;Dodge;Avenger;2011
736;Pontiac;Bonneville;1968
737;Mercedes-Benz;SLR McLaren;2007
738;Maybach;Landaulet;2009
739;Mercedes-Benz;G-Class;2010
740;Ford;E350;2005
741;Toyota;Yaris;2010
742;Infiniti;Q;1994
743;Ford;LTD;1984
744;BMW;7 Series;1994
745;BMW;8 Series;1997
746;Volkswagen;CC;2009
747;Chrysler;Town & Country;2000
748;Lexus;SC;2009
749;Lamborghini;Gallardo;2006
750;Cadillac;Eldorado;1998
751;Chevrolet;Colorado;2010
752;Cadillac;Seville;1996
753;Mercedes-Benz;E-Class;1986
754;Pontiac;Grand Am;1986
755;Chevrolet;Venture;2005
756;Volkswagen;GTI;1988
757;Saab;9-5;2003
758;Chrysler;Sebring;2007
759;GMC;Savana 1500;2011
760;GMC;Savana 1500;1997
761;Toyota;Land Cruiser;1995
762;Panoz;Esperante;2005
763;Rolls-Royce;Phantom;2009
764;Chevrolet;Colorado;2004
765;Hyundai;Sonata;2009
766;Dodge;Daytona;1992
767;Subaru;Impreza;1998
768;Acura;RDX;2007
769;Buick;Riviera;1999
770;Nissan;Titan;2010
771;Pontiac;Sunfire;2000
772;Buick;Enclave;2012
773;Mazda;MX-5;1995
774;Aston Martin;Vanquish S;2005
775;Dodge;Viper;2002
776;Mitsubishi;Mirage;1984
777;Ferrari;California;2009
778;Pontiac;Sunfire;2001
779;Chevrolet;Astro;1998
780;Hummer;H1;1994
781;Ford;Mustang;1970
782;Suzuki;Swift;2004
783;Acura;NSX;2002
784;Infiniti;G;2009
785;Honda;Civic;2011
786;Honda;Civic Si;2003
787;Mazda;B-Series Plus;2004
788;Kia;Sorento;2013
789;Scion;xB;2008
790;GMC;2500;1992
791;Land Rover;Defender;1995
792;Ford;Mustang;1991
793;Ford;Bronco II;1990
794;Chevrolet;Express 2500;2002
795;Lotus;Esprit;1995
796;Mercury;Mountaineer;2002
797;Jeep;Commander;2009
798;Chevrolet;Monte Carlo;2003
799;MINI;Countryman;2012
800;Mazda;929;1993
801;Saturn;Relay;2007
802;Acura;RL;2011
803;Mercedes-Benz;G-Class;2008
804;Chevrolet;Suburban 2500;1994
805;Land Rover;Sterling;1991
806;Lincoln;MKX;2008
807;Porsche;Boxster;2006
808;Saturn;L-Series;2003
809;Ford;F250;2001
810;GMC;Savana 2500;1997
811;Mercedes-Benz;GL-Class;2010
812;Pontiac;LeMans;1993
813;Dodge;Ram 1500;2010
814;Mercedes-Benz;M-Class;2000
815;Chevrolet;Corvette;1968
816;Kia;Sportage;1996
817;Saab;9-3;2009
818;Hyundai;Scoupe;1993
819;Dodge;Intrepid;2000
820;Mitsubishi;Pajero;2000
821;Oldsmobile;Intrigue;2001
822;Ford;Escort;1998
823;Land Rover;Range Rover;2006
824;Cadillac;Eldorado;2000
825;Mercedes-Benz;S-Class;1987
826;Lexus;RX;2005
827;Toyota;Highlander;2002
828;Buick;LaCrosse;2009
829;Mitsubishi;Eclipse;2003
830;Ford;LTD;1986
831;Mazda;Miata MX-5;2008
832;Mercedes-Benz;R-Class;2007
833;Volkswagen;Jetta;2006
834;Buick;Rendezvous;2006
835;Cadillac;DeVille;2001
836;Dodge;Charger;2009
837;Mazda;Miata MX-5;2004
838;GMC;Sierra 1500;2003
839;Mitsubishi;Eclipse;2008
840;Pontiac;Firefly;1985
841;Ford;Econoline E250;1999
842;Honda;Prelude;1997
843;Chevrolet;Camaro;1980
844;BMW;X5 M;2011
845;Mazda;MX-5;2000
846;Hyundai;Entourage;2008
847;Mitsubishi;Montero Sport;2004
848;Pontiac;Sunbird;1991
849;Chrysler;Crossfire;2004
850;Audi;100;1991
851;Chevrolet;Impala;2006
852;Lexus;GS;1994
853;Volvo;XC70;2010
854;Mitsubishi;Galant;1992
855;Ferrari;F430;2006
856;BMW;530;2007
857;Ford;Crown Victoria;2001
858;Buick;Terraza;2005
859;Chevrolet;Corvette;2000
860;Toyota;T100;1996
861;Ford;Taurus;2006
862;MINI;Cooper Clubman;2009
863;Volkswagen;Vanagon;1984
864;Dodge;Caravan;1998
865;Subaru;Loyale;1993
866;Mercury;Sable;2003
867;MINI;Cooper;2009
868;Pontiac;Vibe;2003
869;Mazda;Mazdaspeed6;2006
870;Jeep;Wrangler;2006
871;Jeep;Grand Cherokee;2005
872;Dodge;D150 Club;1992
873;Chrysler;200;2012
874;Nissan;Xterra;2000
875;Pontiac;Firefly;1989
876;Dodge;Viper;2002
877;Nissan;300ZX;1992
878;Chevrolet;Suburban 2500;1997
879;Mazda;B-Series;2009
880;Ford;Laser;1984
881;Mercury;Grand Marquis;2006
882;Ford;Econoline E350;1993
883;Chevrolet;Express 3500;1997
884;Infiniti;G;2004
885;Ford;Contour;1998
886;Chrysler;Sebring;2009
887;Pontiac;Grand Prix;2000
888;Cadillac;Escalade ESV;2008
889;Saab;9-5;2006
890;Audi;A3;2007
891;Jeep;Compass;2008
892;GMC;2500;1993
893;Ford;Focus;2005
