PLZ,quantity,name,color,price,total
10629,3,Fuga,pink,62.21,186.62
10629,2,Fuga,black,34.56,69.12
10629,4,Explicabo,green,497.08,1988.32
10629,3,Fuga,pink,62.21,186.62
10629,2,Fuga,black,34.56,69.12
10629,2,Explicabo,red,542.27,1084.54
18279,4,Fuga,red,41.47,165.89
18279,4,Fuga,red,41.47,165.89
18279,4,Fuga,black,34.56,138.24
18279,4,Fuga,red,41.47,165.89
18279,4,Fuga,black,34.56,138.24
18279,3,Explicabo,green,497.08,1491.24
66484,2,Expedita,black,512.3,1024.6
48624,1,Expedita,blue,594.27,594.27
48624,1,Expedita,blue,594.27,594.27
48624,2,Explicabo,green,497.08,994.16
48624,1,Expedita,blue,594.27,594.27
48624,2,Explicabo,green,497.08,994.16
48624,3,Explicabo,red,542.27,1626.8
64295,3,Explicabo,blue,524.19,1572.58
64295,3,Explicabo,blue,524.19,1572.58
64295,1,Fuga,black,34.56,34.56
64295,3,Explicabo,blue,524.19,1572.58
64295,1,Fuga,black,34.56,34.56
64295,1,Explicabo,blue,524.19,524.19
64295,3,Explicabo,blue,524.19,1572.58
64295,1,Fuga,black,34.56,34.56
64295,1,Explicabo,blue,524.19,524.19
64295,4,Deleniti,green,98.27,393.1
16341,4,Explicabo,blue,524.19,2096.77
16341,4,Explicabo,blue,524.19,2096.77
16341,4,Fuga,green,38.02,152.06
67127,4,Fuga,pink,62.21,248.83
45149,3,Fuga,blue,40.09,120.27
45149,3,Fuga,blue,40.09,120.27
45149,4,Fuga,green,38.02,152.06
45149,3,Fuga,blue,40.09,120.27
45149,4,Fuga,green,38.02,152.06
45149,3,Expedita,black,512.3,1536.9
67134,1,Deleniti,black,89.34,89.34
67134,1,Deleniti,black,89.34,89.34
67134,1,Fuga,green,38.02,38.02
67134,1,Deleniti,black,89.34,89.34
67134,1,Fuga,green,38.02,38.02
67134,1,Deleniti,pink,160.81,160.81
67134,1,Deleniti,black,89.34,89.34
67134,1,Fuga,green,38.02,38.02
67134,1,Deleniti,pink,160.81,160.81
67134,1,Deleniti,green,98.27,98.27
79597,4,Fuga,blue,40.09,160.36
79597,4,Fuga,blue,40.09,160.36
79597,3,Explicabo,blue,524.19,1572.58
79597,4,Fuga,blue,40.09,160.36
79597,3,Explicabo,blue,524.19,1572.58
79597,2,Fuga,pink,62.21,124.42
03172,2,Expedita,red,614.76,1229.52
03172,2,Expedita,red,614.76,1229.52
03172,3,Expedita,black,512.3,1536.9
03172,2,Expedita,red,614.76,1229.52
03172,3,Expedita,black,512.3,1536.9
03172,2,Explicabo,blue,524.19,1048.38
25554,3,Fuga,green,38.02,114.05
25554,3,Fuga,green,38.02,114.05
25554,1,Fuga,green,38.02,38.02
25554,3,Fuga,green,38.02,114.05
25554,1,Fuga,green,38.02,38.02
25554,3,Expedita,pink,922.14,2766.42
25554,3,Fuga,green,38.02,114.05
25554,1,Fuga,green,38.02,38.02
25554,3,Expedita,pink,922.14,2766.42
25554,4,Deleniti,black,89.34,357.36
25554,3,Fuga,green,38.02,114.05
25554,1,Fuga,green,38.02,38.02
25554,3,Expedita,pink,922.14,2766.42
25554,4,Deleniti,black,89.34,357.36
25554,3,Explicabo,blue,524.19,1572.58
47279,4,Deleniti,pink,160.81,643.25
47279,4,Deleniti,pink,160.81,643.25
47279,3,Expedita,green,563.53,1690.59
47167,2,Deleniti,green,98.27,196.55
47167,2,Deleniti,green,98.27,196.55
47167,4,Deleniti,green,98.27,393.1
47167,2,Deleniti,green,98.27,196.55
47167,4,Deleniti,green,98.27,393.1
47167,2,Expedita,black,512.3,1024.6
47167,2,Deleniti,green,98.27,196.55
47167,4,Deleniti,green,98.27,393.1
47167,2,Expedita,black,512.3,1024.6
47167,1,Deleniti,green,98.27,98.27
47167,2,Deleniti,green,98.27,196.55
47167,4,Deleniti,green,98.27,393.1
47167,2,Expedita,black,512.3,1024.6
47167,1,Deleniti,green,98.27,98.27
47167,4,Explicabo,blue,524.19,2096.77
84547,3,Deleniti,red,107.21,321.62
84547,3,Deleniti,red,107.21,321.62
84547,3,Expedita,red,614.76,1844.28
84547,3,Deleniti,red,107.21,321.62
84547,3,Expedita,red,614.76,1844.28
84547,2,Fuga,black,34.56,69.12
84547,3,Deleniti,red,107.21,321.62
84547,3,Expedita,red,614.76,1844.28
84547,2,Fuga,black,34.56,69.12
84547,1,Explicabo,blue,524.19,524.19
53619,2,Fuga,red,41.47,82.94
53619,2,Fuga,red,41.47,82.94
53619,2,Deleniti,black,89.34,178.68
53619,2,Fuga,red,41.47,82.94
53619,2,Deleniti,black,89.34,178.68
53619,1,Deleniti,blue,103.63,103.63
53619,2,Fuga,red,41.47,82.94
53619,2,Deleniti,black,89.34,178.68
53619,1,Deleniti,blue,103.63,103.63
53619,4,Deleniti,green,98.27,393.1
86974,4,Deleniti,green,98.27,393.1
25923,4,Fuga,green,38.02,152.06
01139,2,Deleniti,pink,160.81,321.62
01139,2,Deleniti,pink,160.81,321.62
01139,1,Explicabo,pink,813.4,813.4
28219,1,Fuga,pink,62.21,62.21
28219,1,Fuga,pink,62.21,62.21
28219,3,Fuga,red,41.47,124.42
28219,1,Fuga,pink,62.21,62.21
28219,3,Fuga,red,41.47,124.42
28219,4,Fuga,black,34.56,138.24
53925,3,Fuga,blue,40.09,120.27
53925,3,Fuga,blue,40.09,120.27
53925,4,Deleniti,black,89.34,357.36
56269,4,Deleniti,black,89.34,357.36
14467,2,Expedita,pink,922.14,1844.28
15898,4,Expedita,blue,594.27,2377.07
15898,4,Expedita,blue,594.27,2377.07
15898,2,Deleniti,green,98.27,196.55
15898,4,Expedita,blue,594.27,2377.07
15898,2,Deleniti,green,98.27,196.55
15898,1,Explicabo,red,542.27,542.27
15898,4,Expedita,blue,594.27,2377.07
15898,2,Deleniti,green,98.27,196.55
15898,1,Explicabo,red,542.27,542.27
15898,2,Deleniti,green,98.27,196.55
55608,3,Explicabo,pink,813.4,2440.21
55608,3,Explicabo,pink,813.4,2440.21
55608,1,Expedita,green,563.53,563.53
55608,3,Explicabo,pink,813.4,2440.21
55608,1,Expedita,green,563.53,563.53
55608,3,Expedita,blue,594.27,1782.8
55608,3,Explicabo,pink,813.4,2440.21
55608,1,Expedita,green,563.53,563.53
55608,3,Expedita,blue,594.27,1782.8
55608,3,Explicabo,red,542.27,1626.8
55608,3,Explicabo,pink,813.4,2440.21
55608,1,Expedita,green,563.53,563.53
55608,3,Expedita,blue,594.27,1782.8
55608,3,Explicabo,red,542.27,1626.8
55608,2,Fuga,black,34.56,69.12
18225,4,Explicabo,blue,524.19,2096.77
18225,4,Explicabo,blue,524.19,2096.77
18225,2,Deleniti,red,107.21,214.42
26802,1,Expedita,green,563.53,563.53
26802,1,Expedita,green,563.53,563.53
26802,3,Fuga,red,41.47,124.42
95679,3,Explicabo,red,542.27,1626.8
95679,3,Explicabo,red,542.27,1626.8
95679,2,Deleniti,green,98.27,196.55
95679,3,Explicabo,red,542.27,1626.8
95679,2,Deleniti,green,98.27,196.55
95679,1,Fuga,red,41.47,41.47
95679,3,Explicabo,red,542.27,1626.8
95679,2,Deleniti,green,98.27,196.55
95679,1,Fuga,red,41.47,41.47
95679,3,Fuga,pink,62.21,186.62
95679,3,Explicabo,red,542.27,1626.8
95679,2,Deleniti,green,98.27,196.55
95679,1,Fuga,red,41.47,41.47
95679,3,Fuga,pink,62.21,186.62
95679,4,Expedita,blue,594.27,2377.07
74925,1,Expedita,red,614.76,614.76
99638,2,Explicabo,red,542.27,1084.54
46147,3,Deleniti,green,98.27,294.82
46147,3,Deleniti,green,98.27,294.82
46147,4,Expedita,pink,922.14,3688.56
46147,3,Deleniti,green,98.27,294.82
46147,4,Expedita,pink,922.14,3688.56
46147,1,Explicabo,green,497.08,497.08
32584,2,Expedita,blue,594.27,1188.54
32584,2,Expedita,blue,594.27,1188.54
32584,4,Expedita,blue,594.27,2377.07
32584,2,Expedita,blue,594.27,1188.54
32584,4,Expedita,blue,594.27,2377.07
32584,1,Explicabo,green,497.08,497.08
22297,4,Explicabo,green,497.08,1988.32
22297,4,Explicabo,green,497.08,1988.32
22297,3,Deleniti,blue,103.63,310.9
22297,4,Explicabo,green,497.08,1988.32
22297,3,Deleniti,blue,103.63,310.9
22297,1,Explicabo,green,497.08,497.08
22297,4,Explicabo,green,497.08,1988.32
22297,3,Deleniti,blue,103.63,310.9
22297,1,Explicabo,green,497.08,497.08
22297,2,Explicabo,green,497.08,994.16
14548,3,Deleniti,black,89.34,268.02
14548,3,Deleniti,black,89.34,268.02
14548,4,Explicabo,pink,813.4,3253.61
14548,3,Deleniti,black,89.34,268.02
14548,4,Explicabo,pink,813.4,3253.61
14548,1,Fuga,red,41.47,41.47
14548,3,Deleniti,black,89.34,268.02
14548,4,Explicabo,pink,813.4,3253.61
14548,1,Fuga,red,41.47,41.47
14548,4,Fuga,blue,40.09,160.36
50667,2,Fuga,black,34.56,69.12
50667,2,Fuga,black,34.56,69.12
50667,4,Fuga,red,41.47,165.89
50667,2,Fuga,black,34.56,69.12
50667,4,Fuga,red,41.47,165.89
50667,1,Deleniti,red,107.21,107.21
50667,2,Fuga,black,34.56,69.12
50667,4,Fuga,red,41.47,165.89
50667,1,Deleniti,red,107.21,107.21
50667,4,Fuga,pink,62.21,248.83
25923,3,Deleniti,black,89.34,268.02
25923,3,Deleniti,black,89.34,268.02
25923,4,Explicabo,blue,524.19,2096.77
14476,2,Expedita,pink,922.14,1844.28
14476,2,Expedita,pink,922.14,1844.28
14476,1,Deleniti,blue,103.63,103.63
13127,4,Deleniti,blue,103.63,414.54
13127,4,Deleniti,blue,103.63,414.54
13127,2,Expedita,blue,594.27,1188.54
91315,4,Fuga,green,38.02,152.06
12045,1,Fuga,red,41.47,41.47
12045,1,Fuga,red,41.47,41.47
12045,1,Fuga,blue,40.09,40.09
12045,1,Fuga,red,41.47,41.47
12045,1,Fuga,blue,40.09,40.09
12045,4,Fuga,green,38.02,152.06
95694,1,Expedita,blue,594.27,594.27
95694,1,Expedita,blue,594.27,594.27
95694,3,Explicabo,pink,813.4,2440.21
95694,1,Expedita,blue,594.27,594.27
95694,3,Explicabo,pink,813.4,2440.21
95694,4,Fuga,black,34.56,138.24
02999,3,Deleniti,red,107.21,321.62
02999,3,Deleniti,red,107.21,321.62
02999,2,Explicabo,black,451.89,903.78
02999,3,Deleniti,red,107.21,321.62
02999,2,Explicabo,black,451.89,903.78
02999,3,Expedita,green,563.53,1690.59
02999,3,Deleniti,red,107.21,321.62
02999,2,Explicabo,black,451.89,903.78
02999,3,Expedita,green,563.53,1690.59
02999,4,Deleniti,pink,160.81,643.25
02999,3,Deleniti,red,107.21,321.62
02999,2,Explicabo,black,451.89,903.78
02999,3,Expedita,green,563.53,1690.59
02999,4,Deleniti,pink,160.81,643.25
02999,1,Deleniti,red,107.21,107.21
53557,2,Expedita,red,614.76,1229.52
53557,2,Expedita,red,614.76,1229.52
53557,2,Fuga,pink,62.21,124.42
53557,2,Expedita,red,614.76,1229.52
53557,2,Fuga,pink,62.21,124.42
53557,4,Fuga,green,38.02,152.06
53557,2,Expedita,red,614.76,1229.52
53557,2,Fuga,pink,62.21,124.42
53557,4,Fuga,green,38.02,152.06
53557,1,Expedita,red,614.76,614.76
53557,2,Expedita,red,614.76,1229.52
53557,2,Fuga,pink,62.21,124.42
53557,4,Fuga,green,38.02,152.06
53557,1,Expedita,red,614.76,614.76
53557,3,Expedita,pink,922.14,2766.42
65527,2,Expedita,red,614.76,1229.52
28213,3,Deleniti,red,107.21,321.62
14943,2,Expedita,pink,922.14,1844.28
14943,2,Expedita,pink,922.14,1844.28
14943,2,Explicabo,black,451.89,903.78
97785,1,Fuga,pink,62.21,62.21
97785,1,Fuga,pink,62.21,62.21
97785,3,Explicabo,red,542.27,1626.8
97785,1,Fuga,pink,62.21,62.21
97785,3,Explicabo,red,542.27,1626.8
97785,4,Expedita,pink,922.14,3688.56
97785,1,Fuga,pink,62.21,62.21
97785,3,Explicabo,red,542.27,1626.8
97785,4,Expedita,pink,922.14,3688.56
97785,1,Expedita,blue,594.27,594.27
97785,1,Fuga,pink,62.21,62.21
97785,3,Explicabo,red,542.27,1626.8
97785,4,Expedita,pink,922.14,3688.56
97785,1,Expedita,blue,594.27,594.27
97785,4,Fuga,black,34.56,138.24
66687,1,Explicabo,pink,813.4,813.4
66687,1,Explicabo,pink,813.4,813.4
66687,3,Expedita,black,512.3,1536.9
66687,1,Explicabo,pink,813.4,813.4
66687,3,Expedita,black,512.3,1536.9
66687,1,Deleniti,red,107.21,107.21
66687,1,Explicabo,pink,813.4,813.4
66687,3,Expedita,black,512.3,1536.9
66687,1,Deleniti,red,107.21,107.21
66687,3,Explicabo,red,542.27,1626.8
66687,1,Explicabo,pink,813.4,813.4
66687,3,Expedita,black,512.3,1536.9
66687,1,Deleniti,red,107.21,107.21
66687,3,Explicabo,red,542.27,1626.8
66687,3,Deleniti,blue,103.63,310.9
67813,1,Expedita,green,563.53,563.53
67813,1,Expedita,green,563.53,563.53
67813,3,Fuga,red,41.47,124.42
67813,1,Expedita,green,563.53,563.53
67813,3,Fuga,red,41.47,124.42
67813,1,Explicabo,red,542.27,542.27
67813,1,Expedita,green,563.53,563.53
67813,3,Fuga,red,41.47,124.42
67813,1,Explicabo,red,542.27,542.27
67813,2,Deleniti,green,98.27,196.55
25486,3,Fuga,red,41.47,124.42
25486,3,Fuga,red,41.47,124.42
25486,2,Fuga,green,38.02,76.03
25486,3,Fuga,red,41.47,124.42
25486,2,Fuga,green,38.02,76.03
25486,4,Expedita,black,512.3,2049.2
25486,3,Fuga,red,41.47,124.42
25486,2,Fuga,green,38.02,76.03
25486,4,Expedita,black,512.3,2049.2
25486,1,Deleniti,green,98.27,98.27
22399,3,Deleniti,pink,160.81,482.44
22399,3,Deleniti,pink,160.81,482.44
22399,4,Deleniti,green,98.27,393.1
22399,3,Deleniti,pink,160.81,482.44
22399,4,Deleniti,green,98.27,393.1
22399,2,Fuga,blue,40.09,80.18
08239,1,Fuga,green,38.02,38.02
08239,1,Fuga,green,38.02,38.02
08239,1,Explicabo,green,497.08,497.08
08239,1,Fuga,green,38.02,38.02
08239,1,Explicabo,green,497.08,497.08
08239,1,Fuga,blue,40.09,40.09
16767,4,Explicabo,red,542.27,2169.07
16767,4,Explicabo,red,542.27,2169.07
16767,4,Expedita,green,563.53,2254.12
04451,1,Expedita,green,563.53,563.53
04451,1,Expedita,green,563.53,563.53
04451,3,Fuga,green,38.02,114.05
97337,4,Explicabo,pink,813.4,3253.61
97337,4,Explicabo,pink,813.4,3253.61
97337,2,Expedita,blue,594.27,1188.54
97337,4,Explicabo,pink,813.4,3253.61
97337,2,Expedita,blue,594.27,1188.54
97337,1,Deleniti,blue,103.63,103.63
97337,4,Explicabo,pink,813.4,3253.61
97337,2,Expedita,blue,594.27,1188.54
97337,1,Deleniti,blue,103.63,103.63
97337,1,Expedita,blue,594.27,594.27
66128,2,Explicabo,red,542.27,1084.54
32257,3,Explicabo,red,542.27,1626.8
32257,3,Explicabo,red,542.27,1626.8
32257,2,Expedita,blue,594.27,1188.54
32257,3,Explicabo,red,542.27,1626.8
32257,2,Expedita,blue,594.27,1188.54
32257,4,Deleniti,green,98.27,393.1
32257,3,Explicabo,red,542.27,1626.8
32257,2,Expedita,blue,594.27,1188.54
32257,4,Deleniti,green,98.27,393.1
32257,1,Deleniti,pink,160.81,160.81
22961,3,Fuga,black,34.56,103.68
22961,3,Fuga,black,34.56,103.68
22961,2,Expedita,pink,922.14,1844.28
22961,3,Fuga,black,34.56,103.68
22961,2,Expedita,pink,922.14,1844.28
22961,3,Fuga,red,41.47,124.42
19309,3,Fuga,blue,40.09,120.27
19309,3,Fuga,blue,40.09,120.27
19309,3,Deleniti,red,107.21,321.62
19309,3,Fuga,blue,40.09,120.27
19309,3,Deleniti,red,107.21,321.62
19309,3,Expedita,red,614.76,1844.28
19309,3,Fuga,blue,40.09,120.27
19309,3,Deleniti,red,107.21,321.62
19309,3,Expedita,red,614.76,1844.28
19309,3,Fuga,red,41.47,124.42
40627,2,Fuga,green,38.02,76.03
40627,2,Fuga,green,38.02,76.03
40627,3,Expedita,red,614.76,1844.28
40627,2,Fuga,green,38.02,76.03
40627,3,Expedita,red,614.76,1844.28
40627,1,Fuga,black,34.56,34.56
40627,2,Fuga,green,38.02,76.03
40627,3,Expedita,red,614.76,1844.28
40627,1,Fuga,black,34.56,34.56
40627,4,Expedita,blue,594.27,2377.07
13585,1,Expedita,green,563.53,563.53
13585,1,Expedita,green,563.53,563.53
13585,1,Expedita,pink,922.14,922.14
13585,1,Expedita,green,563.53,563.53
13585,1,Expedita,pink,922.14,922.14
13585,2,Expedita,pink,922.14,1844.28
13585,1,Expedita,green,563.53,563.53
13585,1,Expedita,pink,922.14,922.14
13585,2,Expedita,pink,922.14,1844.28
13585,4,Fuga,black,34.56,138.24
13585,1,Expedita,green,563.53,563.53
13585,1,Expedita,pink,922.14,922.14
13585,2,Expedita,pink,922.14,1844.28
13585,4,Fuga,black,34.56,138.24
13585,4,Deleniti,red,107.21,428.83
22045,4,Expedita,black,512.3,2049.2
22045,4,Expedita,black,512.3,2049.2
22045,2,Fuga,black,34.56,69.12
22045,4,Expedita,black,512.3,2049.2
22045,2,Fuga,black,34.56,69.12
22045,3,Explicabo,pink,813.4,2440.21
22045,4,Expedita,black,512.3,2049.2
22045,2,Fuga,black,34.56,69.12
22045,3,Explicabo,pink,813.4,2440.21
22045,3,Fuga,pink,62.21,186.62
22045,4,Expedita,black,512.3,2049.2
22045,2,Fuga,black,34.56,69.12
22045,3,Explicabo,pink,813.4,2440.21
22045,3,Fuga,pink,62.21,186.62
22045,1,Expedita,pink,922.14,922.14
17375,1,Explicabo,blue,524.19,524.19
17375,1,Explicabo,blue,524.19,524.19
17375,2,Fuga,black,34.56,69.12
17375,1,Explicabo,blue,524.19,524.19
17375,2,Fuga,black,34.56,69.12
17375,1,Fuga,red,41.47,41.47
17375,1,Explicabo,blue,524.19,524.19
17375,2,Fuga,black,34.56,69.12
17375,1,Fuga,red,41.47,41.47
17375,2,Fuga,blue,40.09,80.18
17375,1,Explicabo,blue,524.19,524.19
17375,2,Fuga,black,34.56,69.12
17375,1,Fuga,red,41.47,41.47
17375,2,Fuga,blue,40.09,80.18
17375,4,Deleniti,blue,103.63,414.54
24143,2,Deleniti,green,98.27,196.55
24143,2,Deleniti,green,98.27,196.55
24143,1,Deleniti,pink,160.81,160.81
24143,2,Deleniti,green,98.27,196.55
24143,1,Deleniti,pink,160.81,160.81
24143,3,Deleniti,blue,103.63,310.9
24143,2,Deleniti,green,98.27,196.55
24143,1,Deleniti,pink,160.81,160.81
24143,3,Deleniti,blue,103.63,310.9
